HTTrack3.49-2 launched on Sat, 16 Jul 2022 19:36:21 at http://www.htmlbible.com/
(/usr/bin/httrack -iC1 -r6 http://www.htmlbible.com/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/sacrednamebiblecom/hungarian/B43C011.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/sacrednamebiblecom/hungarian/B43C011.htm (from www.htmlbible.com/sacrednamebiblecom/hungarian/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B04C029.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B04C029.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B04C030.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B04C030.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B04C031.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B04C031.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B13C017.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B13C017.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B14C008.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B14C008.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B32C004.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B32C004.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjv20/B38C011.htm
01:54:06	Error: 	"mirror stopped by user" (-1) at link www.htmlbible.com/kjv20/B38C011.htm (from www.htmlbible.com/kjv20/index.htm)
01:54:06	Warning: 	File not added due to mirror cancel: www.htmlbible.com/kjvlarge/B11C002.htm
